2017/06/07 00:20:43 [error] 11402#11402: *22 upstream timed out (110: Connection timed out) while reading response header from upstream, client: 127.0.0.1, server: _, request: "GET / HTTP/1.1", upstream: "uwsgi://127.0.0.1:8077", host: "127.0.0.1"
2017/06/07 01:22:23 [error] 14593#14593: *36 open() "/home/zhangyu/MyProgram/blog_onecss/pure-min.css" failed (2: No such file or directory), client: 127.0.0.1, server: _, request: "GET /static/css/pure-min.css HTTP/1.1", host: "127.0.0.1", referrer: "http://127.0.0.1/"
2017/06/07 01:22:23 [error] 14593#14593: *37 open() "/home/zhangyu/MyProgram/blog_onecss/grids-responsive-min.css" failed (2: No such file or directory), client: 127.0.0.1, server: _, request: "GET /static/css/grids-responsive-min.css HTTP/1.1", host: "127.0.0.1", referrer: "http://127.0.0.1/"
2017/06/07 01:22:23 [error] 14593#14593: *38 open() "/home/zhangyu/MyProgram/blog_onecss/blog.css" failed (2: No such file or directory), client: 127.0.0.1, server: _, request: "GET /static/css/blog.css HTTP/1.1", host: "127.0.0.1", referrer: "http://127.0.0.1/"
2017/06/07 01:22:23 [error] 14593#14593: *39 open() "/home/zhangyu/MyProgram/blog_onecss/monokai.css" failed (2: No such file or directory), client: 127.0.0.1, server: _, request: "GET /static/css/monokai.css HTTP/1.1", host: "127.0.0.1", referrer: "http://127.0.0.1/"
2017/06/07 01:22:23 [error] 14593#14593: *40 open() "/home/zhangyu/MyProgram/blog_onecss/self.css" failed (2: No such file or directory), client: 127.0.0.1, server: _, request: "GET /static/css/self.css HTTP/1.1", host: "127.0.0.1", referrer: "http://127.0.0.1/"
2017/06/07 01:22:24 [error] 14593#14593: *40 open() "/home/zhangyu/MyProgram/blog_onecss/pure-min.css" failed (2: No such file or directory), client: 127.0.0.1, server: _, request: "GET /static/css/pure-min.css HTTP/1.1", host: "127.0.0.1", referrer: "http://127.0.0.1/"
2017/06/07 01:22:24 [error] 14593#14593: *39 open() "/home/zhangyu/MyProgram/blog_onecss/grids-responsive-min.css" failed (2: No such file or directory), client: 127.0.0.1, server: _, request: "GET /static/css/grids-responsive-min.css HTTP/1.1", host: "127.0.0.1", referrer: "http://127.0.0.1/"
2017/06/07 01:22:24 [error] 14593#14593: *38 open() "/home/zhangyu/MyProgram/blog_onecss/blog.css" failed (2: No such file or directory), client: 127.0.0.1, server: _, request: "GET /static/css/blog.css HTTP/1.1", host: "127.0.0.1", referrer: "http://127.0.0.1/"
2017/06/07 01:22:24 [error] 14593#14593: *38 open() "/home/zhangyu/MyProgram/blog_onecss/monokai.css" failed (2: No such file or directory), client: 127.0.0.1, server: _, request: "GET /static/css/monokai.css HTTP/1.1", host: "127.0.0.1", referrer: "http://127.0.0.1/"
2017/06/07 01:22:24 [error] 14593#14593: *39 open() "/home/zhangyu/MyProgram/blog_onecss/self.css" failed (2: No such file or directory), client: 127.0.0.1, server: _, request: "GET /static/css/self.css HTTP/1.1", host: "127.0.0.1", referrer: "http://127.0.0.1/"
2017/06/07 01:23:57 [error] 14667#14667: *44 open() "/home/zhangyu/MyProgram/blog_onecss/pure-min.css" failed (2: No such file or directory), client: 127.0.0.1, server: _, request: "GET /static/css/pure-min.css HTTP/1.1", host: "127.0.0.1", referrer: "http://127.0.0.1/"
2017/06/07 01:23:57 [error] 14667#14667: *45 open() "/home/zhangyu/MyProgram/blog_onecss/grids-responsive-min.css" failed (2: No such file or directory), client: 127.0.0.1, server: _, request: "GET /static/css/grids-responsive-min.css HTTP/1.1", host: "127.0.0.1", referrer: "http://127.0.0.1/"
2017/06/07 01:23:57 [error] 14667#14667: *44 open() "/home/zhangyu/MyProgram/blog_onecss/blog.css" failed (2: No such file or directory), client: 127.0.0.1, server: _, request: "GET /static/css/blog.css HTTP/1.1", host: "127.0.0.1", referrer: "http://127.0.0.1/"
2017/06/07 01:23:57 [error] 14667#14667: *46 open() "/home/zhangyu/MyProgram/blog_onecss/monokai.css" failed (2: No such file or directory), client: 127.0.0.1, server: _, request: "GET /static/css/monokai.css HTTP/1.1", host: "127.0.0.1", referrer: "http://127.0.0.1/"
2017/06/07 01:23:57 [error] 14667#14667: *47 open() "/home/zhangyu/MyProgram/blog_onecss/self.css" failed (2: No such file or directory), client: 127.0.0.1, server: _, request: "GET /static/css/self.css HTTP/1.1", host: "127.0.0.1", referrer: "http://127.0.0.1/"
2017/06/07 01:23:58 [error] 14667#14667: *47 open() "/home/zhangyu/MyProgram/blog_onecss/pure-min.css" failed (2: No such file or directory), client: 127.0.0.1, server: _, request: "GET /static/css/pure-min.css HTTP/1.1", host: "127.0.0.1", referrer: "http://127.0.0.1/"
2017/06/07 01:23:58 [error] 14667#14667: *46 open() "/home/zhangyu/MyProgram/blog_onecss/grids-responsive-min.css" failed (2: No such file or directory), client: 127.0.0.1, server: _, request: "GET /static/css/grids-responsive-min.css HTTP/1.1", host: "127.0.0.1", referrer: "http://127.0.0.1/"
2017/06/07 01:23:58 [error] 14667#14667: *44 open() "/home/zhangyu/MyProgram/blog_onecss/blog.css" failed (2: No such file or directory), client: 127.0.0.1, server: _, request: "GET /static/css/blog.css HTTP/1.1", host: "127.0.0.1", referrer: "http://127.0.0.1/"
2017/06/07 01:23:58 [error] 14667#14667: *45 open() "/home/zhangyu/MyProgram/blog_onecss/monokai.css" failed (2: No such file or directory), client: 127.0.0.1, server: _, request: "GET /static/css/monokai.css HTTP/1.1", host: "127.0.0.1", referrer: "http://127.0.0.1/"
2017/06/07 01:23:58 [error] 14667#14667: *48 open() "/home/zhangyu/MyProgram/blog_onecss/self.css" failed (2: No such file or directory), client: 127.0.0.1, server: _, request: "GET /static/css/self.css HTTP/1.1", host: "127.0.0.1", referrer: "http://127.0.0.1/"
2017/06/07 01:23:58 [error] 14667#14667: *48 open() "/home/zhangyu/MyProgram/blog_onecss/pure-min.css" failed (2: No such file or directory), client: 127.0.0.1, server: _, request: "GET /static/css/pure-min.css HTTP/1.1", host: "127.0.0.1", referrer: "http://127.0.0.1/"
2017/06/07 01:23:58 [error] 14667#14667: *45 open() "/home/zhangyu/MyProgram/blog_onecss/grids-responsive-min.css" failed (2: No such file or directory), client: 127.0.0.1, server: _, request: "GET /static/css/grids-responsive-min.css HTTP/1.1", host: "127.0.0.1", referrer: "http://127.0.0.1/"
2017/06/07 01:23:58 [error] 14667#14667: *44 open() "/home/zhangyu/MyProgram/blog_onecss/blog.css" failed (2: No such file or directory), client: 127.0.0.1, server: _, request: "GET /static/css/blog.css HTTP/1.1", host: "127.0.0.1", referrer: "http://127.0.0.1/"
2017/06/07 01:23:58 [error] 14667#14667: *46 open() "/home/zhangyu/MyProgram/blog_onecss/monokai.css" failed (2: No such file or directory), client: 127.0.0.1, server: _, request: "GET /static/css/monokai.css HTTP/1.1", host: "127.0.0.1", referrer: "http://127.0.0.1/"
2017/06/07 01:23:58 [error] 14667#14667: *46 open() "/home/zhangyu/MyProgram/blog_onecss/self.css" failed (2: No such file or directory), client: 127.0.0.1, server: _, request: "GET /static/css/self.css HTTP/1.1", host: "127.0.0.1", referrer: "http://127.0.0.1/"
2017/06/07 01:23:58 [error] 14667#14667: *46 open() "/home/zhangyu/MyProgram/blog_onecss/pure-min.css" failed (2: No such file or directory), client: 127.0.0.1, server: _, request: "GET /static/css/pure-min.css HTTP/1.1", host: "127.0.0.1", referrer: "http://127.0.0.1/"
2017/06/07 01:23:58 [error] 14667#14667: *44 open() "/home/zhangyu/MyProgram/blog_onecss/grids-responsive-min.css" failed (2: No such file or directory), client: 127.0.0.1, server: _, request: "GET /static/css/grids-responsive-min.css HTTP/1.1", host: "127.0.0.1", referrer: "http://127.0.0.1/"
2017/06/07 01:23:58 [error] 14667#14667: *45 open() "/home/zhangyu/MyProgram/blog_onecss/blog.css" failed (2: No such file or directory), client: 127.0.0.1, server: _, request: "GET /static/css/blog.css HTTP/1.1", host: "127.0.0.1", referrer: "http://127.0.0.1/"
2017/06/07 01:23:58 [error] 14667#14667: *48 open() "/home/zhangyu/MyProgram/blog_onecss/monokai.css" failed (2: No such file or directory), client: 127.0.0.1, server: _, request: "GET /static/css/monokai.css HTTP/1.1", host: "127.0.0.1", referrer: "http://127.0.0.1/"
2017/06/07 01:23:58 [error] 14667#14667: *47 open() "/home/zhangyu/MyProgram/blog_onecss/self.css" failed (2: No such file or directory), client: 127.0.0.1, server: _, request: "GET /static/css/self.css HTTP/1.1", host: "127.0.0.1", referrer: "http://127.0.0.1/"
2017/06/07 01:24:31 [error] 14667#14667: *47 open() "/home/zhangyu/MyProgram/blog_onecss/pure-min.css" failed (2: No such file or directory), client: 127.0.0.1, server: _, request: "GET /static/css/pure-min.css HTTP/1.1", host: "127.0.0.1", referrer: "http://127.0.0.1/"
2017/06/07 01:24:31 [error] 14667#14667: *48 open() "/home/zhangyu/MyProgram/blog_onecss/grids-responsive-min.css" failed (2: No such file or directory), client: 127.0.0.1, server: _, request: "GET /static/css/grids-responsive-min.css HTTP/1.1", host: "127.0.0.1", referrer: "http://127.0.0.1/"
2017/06/07 01:24:31 [error] 14667#14667: *45 open() "/home/zhangyu/MyProgram/blog_onecss/blog.css" failed (2: No such file or directory), client: 127.0.0.1, server: _, request: "GET /static/css/blog.css HTTP/1.1", host: "127.0.0.1", referrer: "http://127.0.0.1/"
2017/06/07 01:24:31 [error] 14667#14667: *44 open() "/home/zhangyu/MyProgram/blog_onecss/monokai.css" failed (2: No such file or directory), client: 127.0.0.1, server: _, request: "GET /static/css/monokai.css HTTP/1.1", host: "127.0.0.1", referrer: "http://127.0.0.1/"
2017/06/07 01:24:31 [error] 14667#14667: *46 open() "/home/zhangyu/MyProgram/blog_onecss/self.css" failed (2: No such file or directory), client: 127.0.0.1, server: _, request: "GET /static/css/self.css HTTP/1.1", host: "127.0.0.1", referrer: "http://127.0.0.1/"
2017/06/07 01:24:31 [error] 14667#14667: *46 open() "/home/zhangyu/MyProgram/blog_onecss/pure-min.css" failed (2: No such file or directory), client: 127.0.0.1, server: _, request: "GET /static/css/pure-min.css HTTP/1.1", host: "127.0.0.1", referrer: "http://127.0.0.1/"
2017/06/07 01:24:31 [error] 14667#14667: *44 open() "/home/zhangyu/MyProgram/blog_onecss/grids-responsive-min.css" failed (2: No such file or directory), client: 127.0.0.1, server: _, request: "GET /static/css/grids-responsive-min.css HTTP/1.1", host: "127.0.0.1", referrer: "http://127.0.0.1/"
2017/06/07 01:24:31 [error] 14667#14667: *45 open() "/home/zhangyu/MyProgram/blog_onecss/blog.css" failed (2: No such file or directory), client: 127.0.0.1, server: _, request: "GET /static/css/blog.css HTTP/1.1", host: "127.0.0.1", referrer: "http://127.0.0.1/"
2017/06/07 01:24:31 [error] 14667#14667: *48 open() "/home/zhangyu/MyProgram/blog_onecss/monokai.css" failed (2: No such file or directory), client: 127.0.0.1, server: _, request: "GET /static/css/monokai.css HTTP/1.1", host: "127.0.0.1", referrer: "http://127.0.0.1/"
2017/06/07 01:24:31 [error] 14667#14667: *47 open() "/home/zhangyu/MyProgram/blog_onecss/self.css" failed (2: No such file or directory), client: 127.0.0.1, server: _, request: "GET /static/css/self.css HTTP/1.1", host: "127.0.0.1", referrer: "http://127.0.0.1/"
2017/06/07 01:24:36 [error] 14772#14772: *55 open() "/home/zhangyu/MyProgram/blog_one/static/csscss/pure-min.css" failed (2: No such file or directory), client: 127.0.0.1, server: _, request: "GET /static/css/pure-min.css HTTP/1.1", host: "127.0.0.1", referrer: "http://127.0.0.1/"
2017/06/07 01:24:36 [error] 14772#14772: *55 open() "/home/zhangyu/MyProgram/blog_one/static/csscss/grids-responsive-min.css" failed (2: No such file or directory), client: 127.0.0.1, server: _, request: "GET /static/css/grids-responsive-min.css HTTP/1.1", host: "127.0.0.1", referrer: "http://127.0.0.1/"
2017/06/07 01:24:36 [error] 14772#14772: *57 open() "/home/zhangyu/MyProgram/blog_one/static/csscss/blog.css" failed (2: No such file or directory), client: 127.0.0.1, server: _, request: "GET /static/css/blog.css HTTP/1.1", host: "127.0.0.1", referrer: "http://127.0.0.1/"
2017/06/07 01:24:36 [error] 14772#14772: *58 open() "/home/zhangyu/MyProgram/blog_one/static/csscss/monokai.css" failed (2: No such file or directory), client: 127.0.0.1, server: _, request: "GET /static/css/monokai.css HTTP/1.1", host: "127.0.0.1", referrer: "http://127.0.0.1/"
2017/06/07 01:24:36 [error] 14772#14772: *59 open() "/home/zhangyu/MyProgram/blog_one/static/csscss/self.css" failed (2: No such file or directory), client: 127.0.0.1, server: _, request: "GET /static/css/self.css HTTP/1.1", host: "127.0.0.1", referrer: "http://127.0.0.1/"
2017/06/07 01:24:37 [error] 14772#14772: *59 open() "/home/zhangyu/MyProgram/blog_one/static/csscss/pure-min.css" failed (2: No such file or directory), client: 127.0.0.1, server: _, request: "GET /static/css/pure-min.css HTTP/1.1", host: "127.0.0.1", referrer: "http://127.0.0.1/"
2017/06/07 01:24:37 [error] 14772#14772: *58 open() "/home/zhangyu/MyProgram/blog_one/static/csscss/grids-responsive-min.css" failed (2: No such file or directory), client: 127.0.0.1, server: _, request: "GET /static/css/grids-responsive-min.css HTTP/1.1", host: "127.0.0.1", referrer: "http://127.0.0.1/"
2017/06/07 01:24:37 [error] 14772#14772: *57 open() "/home/zhangyu/MyProgram/blog_one/static/csscss/blog.css" failed (2: No such file or directory), client: 127.0.0.1, server: _, request: "GET /static/css/blog.css HTTP/1.1", host: "127.0.0.1", referrer: "http://127.0.0.1/"
2017/06/07 01:24:37 [error] 14772#14772: *55 open() "/home/zhangyu/MyProgram/blog_one/static/csscss/monokai.css" failed (2: No such file or directory), client: 127.0.0.1, server: _, request: "GET /static/css/monokai.css HTTP/1.1", host: "127.0.0.1", referrer: "http://127.0.0.1/"
2017/06/07 01:24:37 [error] 14772#14772: *57 open() "/home/zhangyu/MyProgram/blog_one/static/csscss/self.css" failed (2: No such file or directory), client: 127.0.0.1, server: _, request: "GET /static/css/self.css HTTP/1.1", host: "127.0.0.1", referrer: "http://127.0.0.1/"
2017/06/07 01:24:37 [error] 14772#14772: *57 open() "/home/zhangyu/MyProgram/blog_one/static/csscss/pure-min.css" failed (2: No such file or directory), client: 127.0.0.1, server: _, request: "GET /static/css/pure-min.css HTTP/1.1", host: "127.0.0.1", referrer: "http://127.0.0.1/"
2017/06/07 01:24:37 [error] 14772#14772: *55 open() "/home/zhangyu/MyProgram/blog_one/static/csscss/grids-responsive-min.css" failed (2: No such file or directory), client: 127.0.0.1, server: _, request: "GET /static/css/grids-responsive-min.css HTTP/1.1", host: "127.0.0.1", referrer: "http://127.0.0.1/"
2017/06/07 01:24:37 [error] 14772#14772: *58 open() "/home/zhangyu/MyProgram/blog_one/static/csscss/blog.css" failed (2: No such file or directory), client: 127.0.0.1, server: _, request: "GET /static/css/blog.css HTTP/1.1", host: "127.0.0.1", referrer: "http://127.0.0.1/"
2017/06/07 01:24:37 [error] 14772#14772: *59 open() "/home/zhangyu/MyProgram/blog_one/static/csscss/monokai.css" failed (2: No such file or directory), client: 127.0.0.1, server: _, request: "GET /static/css/monokai.css HTTP/1.1", host: "127.0.0.1", referrer: "http://127.0.0.1/"
2017/06/07 01:24:37 [error] 14772#14772: *59 open() "/home/zhangyu/MyProgram/blog_one/static/csscss/self.css" failed (2: No such file or directory), client: 127.0.0.1, server: _, request: "GET /static/css/self.css HTTP/1.1", host: "127.0.0.1", referrer: "http://127.0.0.1/"
2017/06/07 01:24:37 [error] 14772#14772: *59 open() "/home/zhangyu/MyProgram/blog_one/static/csscss/pure-min.css" failed (2: No such file or directory), client: 127.0.0.1, server: _, request: "GET /static/css/pure-min.css HTTP/1.1", host: "127.0.0.1", referrer: "http://127.0.0.1/"
2017/06/07 01:24:37 [error] 14772#14772: *58 open() "/home/zhangyu/MyProgram/blog_one/static/csscss/grids-responsive-min.css" failed (2: No such file or directory), client: 127.0.0.1, server: _, request: "GET /static/css/grids-responsive-min.css HTTP/1.1", host: "127.0.0.1", referrer: "http://127.0.0.1/"
2017/06/07 01:24:37 [error] 14772#14772: *59 open() "/home/zhangyu/MyProgram/blog_one/static/csscss/blog.css" failed (2: No such file or directory), client: 127.0.0.1, server: _, request: "GET /static/css/blog.css HTTP/1.1", host: "127.0.0.1", referrer: "http://127.0.0.1/"
2017/06/07 01:24:37 [error] 14772#14772: *55 open() "/home/zhangyu/MyProgram/blog_one/static/csscss/monokai.css" failed (2: No such file or directory), client: 127.0.0.1, server: _, request: "GET /static/css/monokai.css HTTP/1.1", host: "127.0.0.1", referrer: "http://127.0.0.1/"
2017/06/07 01:24:37 [error] 14772#14772: *57 open() "/home/zhangyu/MyProgram/blog_one/static/csscss/self.css" failed (2: No such file or directory), client: 127.0.0.1, server: _, request: "GET /static/css/self.css HTTP/1.1", host: "127.0.0.1", referrer: "http://127.0.0.1/"
2017/06/07 01:24:37 [error] 14772#14772: *57 open() "/home/zhangyu/MyProgram/blog_one/static/csscss/pure-min.css" failed (2: No such file or directory), client: 127.0.0.1, server: _, request: "GET /static/css/pure-min.css HTTP/1.1", host: "127.0.0.1", referrer: "http://127.0.0.1/"
